,time,open,high,low,close,tick_volume,spread,real_volume,ema_7,ema_21,ema_89,ema_200,time_sin,time_cos,price_diff,trendline_7,trendline_21,trendline_89,trendline_200,trend_7,trend_21,trend_89,trend_200,close_minus_trendline_7,close_minus_trendline_21,close_minus_trendline_89,close_minus_trendline_200,close_minus_ema7,close_minus_ema21,close_minus_ema89,close_minus_ema200
10,2011-01-27,1344.52,1347.8,1310.15,1313.45,65449,0,0,1338.2497099018096,1354.9377880984143,1367.8865187574138,1370.7748874601166,0.0,1.0,-31.99000000000001,1321.120714285714,0.0,0.0,0.0,-1,-1,-1,-1,-7.670714285713984,0.0,0.0,0.0,-24.799709901809592,-41.487788098414285,-54.43651875741375,-57.32488746011654
11,2011-01-28,1314.08,1346.87,1307.88,1336.31,87339,50,0,1337.7647824263572,1353.2443528167403,1367.1848183405823,1370.4319532565335,0.0,1.0,22.8599999999999,1327.5874999999992,0.0,0.0,0.0,1,-1,-1,-1,8.722500000000764,0.0,0.0,0.0,-1.4547824263572693,-16.93435281674033,-30.87481834058235,-34.121953256533516
12,2011-01-31,1344.47,1344.8,1322.96,1332.4,93965,50,0,1336.423586819768,1351.3494116515822,1366.4118223774583,1370.0535258609461,0.0,1.0,-3.9099999999998545,1329.0142857142857,0.0,0.0,0.0,1,-1,-1,-1,3.385714285714357,0.0,0.0,0.0,-4.023586819767843,-18.949411651582068,-34.0118223774582,-37.65352586094605
13,2011-02-01,1332.31,1342.74,1325.25,1340.96,94821,50,0,1337.557690114826,1350.4049196832566,1365.8462263246258,1369.7640380414343,0.0,1.0,8.559999999999945,1334.8510714285717,0.0,0.0,0.0,1,-1,-1,-1,6.1089285714283506,0.0,0.0,0.0,3.4023098851739633,-9.444919683256558,-24.886226324625795,-28.804038041434296
14,2011-02-02,1341.46,1342.76,1326.64,1334.82,88458,50,0,1336.8732675861195,1348.9881088029604,1365.156754628523,1369.4163361703754,0.0,1.0,-6.1400000000001,1335.606071428571,0.0,0.0,0.0,1,-1,-1,-1,-0.7860714285711765,0.0,0.0,0.0,-2.0532675861195457,-14.168108802960433,-30.336754628523067,-34.59633617037548
15,2011-02-03,1333.23,1355.63,1324.82,1353.95,91206,50,0,1341.1424506895896,1349.439189820873,1364.907715636778,1369.262442278133,0.0,1.0,19.13000000000011,1344.5742857142852,0.0,0.0,0.0,1,-1,-1,-1,9.375714285714821,0.0,0.0,0.0,12.807549310410423,4.51081017912702,-10.957715636777948,-15.312442278132949
16,2011-02-04,1352.9,1357.87,1345.02,1348.65,84660,50,0,1343.0193380171922,1349.3674452917026,1364.5464330670718,1369.0573433499924,0.0,1.0,-5.2999999999999545,1352.573571428571,0.0,0.0,0.0,1,-1,-1,-1,-3.9235714285709946,0.0,0.0,0.0,5.630661982807851,-0.717445291702461,-15.896433067071712,-20.40734334999229
17,2011-02-07,1346.52,1352.96,1344.99,1350.9,74814,50,0,1344.9895035128943,1349.5067684470023,1364.2431789989146,1368.876673266908,0.0,1.0,2.25,1352.133571428571,0.0,0.0,0.0,-1,-1,-1,-1,-1.23357142857094,0.0,0.0,0.0,5.910496487105775,1.393231552997804,-13.343178998914482,-17.976673266907937
18,2011-02-08,1350.54,1367.71,1348.25,1363.52,82309,50,0,1349.6221276346707,1350.780698588184,1364.227108354494,1368.8233730353966,0.0,1.0,12.61999999999989,1360.0717857142854,0.0,0.0,0.0,1,-1,-1,-1,3.4482142857145845,0.0,0.0,0.0,13.897872365329249,12.739301411816086,-0.7071083544940393,-5.303373035396589
19,2011-02-09,1361.82,1366.92,1358.02,1363.31,83779,50,0,1353.044095726003,1351.919725989258,1364.2067281688387,1368.7685136022087,0.0,1.0,-0.21000000000003638,1363.8799999999999,0.0,0.0,0.0,1,-1,-1,-1,-0.5699999999999363,0.0,0.0,0.0,10.265904273996966,11.390274010741905,-0.8967281688387629,-5.458513602208768
